timestamp,temperature_c,pressure_hpa,humidity_percent,light_lux,distance_cm,object_detected
2026-05-01T16:39:59,26.56,839.8,21.41,39.17,16.9,1
2026-05-01T16:40:00,26.57,839.79,21.12,39.17,17.4,1
2026-05-01T16:40:01,26.58,839.77,21.02,40.0,17.8,1
2026-05-01T16:40:02,26.58,839.8,20.92,45.83,25.3,1
2026-05-01T16:40:03,26.59,839.77,20.91,45.83,29.4,1
2026-05-01T16:40:04,26.6,839.8,21.04,45.83,32.4,1
2026-05-01T16:40:05,26.61,839.81,21.18,45.0,31.3,1
2026-05-01T16:40:14,26.61,839.79,21.11,45.0,27.3,1
2026-05-01T16:40:15,26.63,839.79,21.05,45.0,27.2,1
2026-05-01T16:40:16,26.63,839.81,20.98,45.0,29.9,1
2026-05-01T16:40:17,26.63,839.8,20.93,45.0,30.2,1
2026-05-01T16:40:18,26.63,839.81,20.87,45.83,30.9,1
2026-05-01T16:40:19,26.62,839.78,20.79,45.83,31.0,1
2026-05-01T16:40:20,26.62,839.78,20.74,45.83,31.2,1
2026-05-01T16:40:21,26.63,839.8,20.74,45.83,31.9,1
2026-05-01T16:40:22,26.62,839.79,20.72,45.83,31.2,1
2026-05-01T16:40:23,26.63,839.8,20.71,45.0,32.0,1
2026-05-01T16:40:24,26.63,839.82,20.69,45.83,31.3,1
2026-05-01T16:40:26,26.63,839.8,20.67,45.0,30.9,1
2026-05-01T16:40:27,26.63,839.79,20.67,45.0,31.3,1
2026-05-01T16:40:28,26.63,839.81,20.62,45.0,31.7,1
2026-05-01T16:40:29,26.62,839.81,20.58,45.0,31.7,1
2026-05-01T16:40:30,26.64,839.81,20.64,45.0,30.9,1
2026-05-01T16:40:31,26.63,839.78,20.68,45.0,31.9,1
2026-05-01T16:40:32,26.63,839.8,20.72,45.0,31.6,1
2026-05-01T16:40:33,26.63,839.79,20.73,45.0,31.5,1
2026-05-01T16:40:34,26.63,839.81,20.74,45.0,31.5,1
2026-05-01T16:40:35,26.63,839.79,20.71,45.0,31.6,1
2026-05-01T16:40:36,26.63,839.82,20.68,45.0,31.2,1
2026-05-01T16:40:37,26.63,839.78,20.53,45.0,32.0,1
2026-05-01T16:40:38,26.63,839.8,20.45,44.17,32.3,1
2026-05-01T16:40:39,26.62,839.77,20.43,44.17,30.7,1
2026-05-01T16:40:40,26.63,839.78,20.43,44.17,30.2,1
2026-05-01T16:40:41,26.63,839.79,20.47,44.17,29.5,1
2026-05-01T16:40:42,26.63,839.8,20.5,44.17,29.4,1
2026-05-01T16:40:43,26.63,839.81,20.54,44.17,28.9,1
2026-05-01T16:40:44,26.63,839.8,20.57,44.17,29.8,1
2026-05-01T16:40:45,26.63,839.79,20.61,45.0,29.1,1
2026-05-01T16:40:46,26.63,839.8,20.57,45.0,30.8,1
2026-05-01T16:40:47,26.64,839.81,20.56,45.0,32.6,1
2026-05-01T16:40:49,26.64,839.8,20.56,45.0,31.9,1
2026-05-01T16:40:50,26.64,839.79,20.51,45.0,31.5,1
2026-05-01T16:40:51,26.63,839.8,20.43,45.0,31.6,1
2026-05-01T16:40:52,26.63,839.83,20.38,44.17,32.3,1
2026-05-01T16:40:53,26.63,839.8,20.39,45.0,33.8,1
2026-05-01T16:40:54,26.63,839.81,20.38,45.0,33.4,1
2026-05-01T16:40:55,26.63,839.81,20.37,45.0,34.2,1
2026-05-01T16:40:56,26.63,839.82,20.37,45.0,33.6,1
2026-05-01T16:40:57,26.63,839.79,20.38,44.17,30.6,1
2026-05-01T16:40:58,26.63,839.78,20.39,45.0,33.2,1
2026-05-01T16:40:59,26.63,839.8,20.38,44.17,34.2,1
2026-05-01T16:41:00,26.63,839.79,20.39,44.17,33.5,1
2026-05-01T16:41:01,26.63,839.81,20.46,44.17,33.5,1
2026-05-01T16:41:02,26.63,839.79,20.49,44.17,32.0,1
2026-05-01T16:41:03,26.63,839.8,20.44,44.17,32.2,1
2026-05-01T16:41:04,26.64,839.81,20.42,44.17,33.4,1
2026-05-01T16:41:05,26.63,839.8,20.38,44.17,33.1,1
2026-05-01T16:41:06,26.63,839.82,20.37,44.17,32.9,1
2026-05-01T16:41:07,26.63,839.77,20.35,44.17,35.4,1
2026-05-01T16:41:08,26.63,839.79,20.33,44.17,36.4,1
2026-05-01T16:41:09,26.63,839.8,20.35,44.17,36.5,1
2026-05-01T16:41:10,26.63,839.82,20.39,44.17,34.8,1
2026-05-01T16:41:12,26.63,839.78,20.41,44.17,36.5,1
2026-05-01T16:41:13,26.62,839.79,20.37,44.17,34.2,1
2026-05-01T16:41:14,26.63,839.81,20.37,44.17,36.1,1
2026-05-01T16:41:15,26.63,839.78,20.35,44.17,33.2,1
2026-05-01T16:41:16,26.63,839.79,20.32,44.17,34.0,1
2026-05-01T16:41:17,26.63,839.79,20.31,44.17,33.9,1
2026-05-01T16:41:18,26.63,839.81,20.31,44.17,35.6,1
2026-05-01T16:41:19,26.63,839.81,20.31,44.17,36.6,1
2026-05-01T16:41:20,26.63,839.8,20.31,44.17,36.8,1
2026-05-01T16:41:21,26.63,839.79,20.29,44.17,38.2,1
2026-05-01T16:41:22,26.63,839.79,20.28,44.17,100.0,0
2026-05-01T16:41:23,26.63,839.8,20.28,44.17,30.9,1
2026-05-01T16:41:24,26.63,839.79,20.27,43.33,33.0,1
2026-05-01T16:41:25,26.63,839.78,20.27,44.17,31.7,1
2026-05-01T16:41:26,26.63,839.8,20.27,43.33,27.5,1
2026-05-01T16:41:27,26.63,839.82,20.27,43.33,29.1,1
2026-05-01T16:41:28,26.63,839.8,20.27,43.33,27.0,1
2026-05-01T16:41:29,26.63,839.8,20.27,43.33,34.0,1
2026-05-01T16:41:30,26.63,839.8,20.27,43.33,28.5,1
2026-05-01T16:41:31,26.63,839.81,20.28,43.33,32.0,1
2026-05-01T16:41:32,26.63,839.81,20.3,44.17,32.7,1
2026-05-01T16:41:33,26.63,839.79,20.34,43.33,100.0,0
2026-05-01T16:41:35,26.63,839.81,20.34,43.33,31.0,1
2026-05-01T16:41:36,26.63,839.79,20.34,43.33,100.0,0
2026-05-01T16:41:37,26.63,839.8,20.34,43.33,30.3,1
2026-05-01T16:41:38,26.64,839.79,20.3,43.33,26.7,1
2026-05-01T16:41:39,26.63,839.79,20.29,43.33,29.6,1
2026-05-01T16:41:40,26.63,839.78,20.29,43.33,31.9,1
2026-05-01T16:41:41,26.63,839.79,20.29,43.33,29.0,1
2026-05-01T16:41:42,26.63,839.79,20.29,43.33,100.0,0
2026-05-01T16:41:43,26.63,839.79,20.29,43.33,30.3,1
2026-05-01T16:41:44,26.63,839.77,20.29,43.33,29.3,1
2026-05-01T16:41:45,26.63,839.78,20.29,43.33,31.2,1
2026-05-01T16:41:46,26.63,839.79,20.29,43.33,30.8,1
2026-05-01T16:41:47,26.63,839.8,20.3,43.33,31.3,1
2026-05-01T16:41:48,26.63,839.81,20.31,43.33,31.0,1
2026-05-01T16:41:49,26.63,839.81,20.32,43.33,31.1,1
2026-05-01T16:41:50,26.63,839.81,20.31,43.33,30.1,1
2026-05-01T16:41:51,26.63,839.79,20.31,43.33,31.0,1
2026-05-01T16:41:52,26.63,839.81,20.3,43.33,33.9,1
2026-05-01T16:41:53,26.63,839.8,20.31,43.33,31.0,1
2026-05-01T16:41:54,26.63,839.8,20.31,43.33,33.5,1
2026-05-01T16:41:55,26.64,839.82,20.34,43.33,33.4,1
2026-05-01T16:41:56,26.64,839.81,20.34,43.33,33.4,1
2026-05-01T16:41:58,26.64,839.78,20.32,43.33,33.8,1
2026-05-01T16:41:59,26.64,839.8,20.35,43.33,31.6,1
2026-05-01T16:42:00,26.64,839.79,20.36,43.33,32.4,1
2026-05-01T16:42:01,26.64,839.79,20.37,43.33,32.3,1
2026-05-01T16:42:02,26.64,839.77,20.36,43.33,32.6,1
2026-05-01T16:42:03,26.64,839.79,20.37,43.33,32.7,1
2026-05-01T16:42:04,26.64,839.83,20.34,43.33,32.4,1
2026-05-01T16:42:05,26.64,839.79,20.33,43.33,31.2,1
2026-05-01T16:42:06,26.65,839.8,20.33,43.33,31.8,1
2026-05-01T16:42:07,26.64,839.81,20.28,43.33,32.1,1
2026-05-01T16:42:08,26.64,839.8,20.24,43.33,30.8,1
2026-05-01T16:42:09,26.64,839.8,20.22,43.33,31.7,1
2026-05-01T16:42:10,26.64,839.8,20.23,43.33,29.2,1
2026-05-01T16:42:11,26.64,839.79,20.27,43.33,31.1,1
2026-05-01T16:42:12,26.64,839.8,20.28,43.33,31.3,1
2026-05-01T16:42:13,26.65,839.81,20.25,43.33,32.3,1
2026-05-01T16:42:14,26.65,839.79,20.24,43.33,32.0,1
2026-05-01T16:42:15,26.65,839.8,20.23,43.33,29.9,1
2026-05-01T16:42:16,26.65,839.8,20.23,43.33,31.3,1
2026-05-01T16:42:17,26.65,839.79,20.23,43.33,30.6,1
2026-05-01T16:42:18,26.64,839.8,20.21,43.33,32.3,1
2026-05-01T16:42:19,26.64,839.78,20.21,43.33,31.8,1
2026-05-01T16:42:20,26.64,839.8,20.21,43.33,33.3,1
2026-05-01T16:42:22,26.64,839.83,20.17,43.33,32.1,1
2026-05-01T16:42:23,26.64,839.79,20.17,43.33,33.1,1
2026-05-01T16:42:24,26.63,839.79,20.21,43.33,32.6,1
2026-05-01T16:42:25,26.64,839.77,20.24,43.33,33.0,1
2026-05-01T16:42:26,26.64,839.77,20.24,43.33,33.6,1
2026-05-01T16:42:27,26.64,839.78,20.24,43.33,34.6,1
2026-05-01T16:42:28,26.65,839.77,20.27,43.33,33.9,1
2026-05-01T16:42:29,26.65,839.78,20.3,43.33,33.7,1
2026-05-01T16:42:30,26.65,839.79,20.34,43.33,34.3,1
2026-05-01T16:42:31,26.65,839.77,20.35,43.33,33.7,1
2026-05-01T16:42:32,26.65,839.8,20.36,43.33,36.3,1
2026-05-01T16:42:33,26.65,839.77,20.36,43.33,34.6,1
2026-05-01T16:42:34,26.65,839.79,20.31,43.33,33.8,1
2026-05-01T16:42:35,26.65,839.78,20.27,43.33,35.6,1
2026-05-01T16:42:36,26.65,839.77,20.21,43.33,35.8,1
2026-05-01T16:42:37,26.65,839.78,20.22,43.33,36.9,1
2026-05-01T16:42:38,26.65,839.78,20.2,43.33,34.2,1
2026-05-01T16:42:39,26.65,839.79,20.2,43.33,35.5,1
2026-05-01T16:42:40,26.65,839.78,20.19,43.33,36.3,1
2026-05-01T16:42:41,26.65,839.8,20.16,43.33,36.3,1
2026-05-01T16:42:42,26.65,839.79,20.17,43.33,39.0,1
2026-05-01T16:42:43,26.65,839.8,20.16,43.33,36.9,1
2026-05-01T16:42:45,26.65,839.82,20.16,43.33,37.8,1
2026-05-01T16:42:46,26.65,839.79,20.15,43.33,36.1,1
2026-05-01T16:42:47,26.64,839.77,20.15,43.33,39.0,1
2026-05-01T16:42:48,26.64,839.79,20.15,43.33,37.3,1
2026-05-01T16:42:49,26.64,839.77,20.14,43.33,38.0,1
2026-05-01T16:42:50,26.65,839.79,20.15,43.33,38.0,1
2026-05-01T16:42:51,26.65,839.79,20.15,43.33,38.6,1
2026-05-01T16:42:52,26.65,839.78,20.16,43.33,38.5,1
2026-05-01T16:42:53,26.65,839.8,20.16,43.33,38.4,1
2026-05-01T16:42:54,26.65,839.8,20.15,43.33,39.1,1
