timestamp,temperature_c,pressure_hpa,humidity_percent,light_lux,distance_cm,object_detected
2026-05-01T16:21:14,26.49,839.86,20.43,108.33,100.0,0
2026-05-01T16:21:15,26.5,839.86,20.68,108.33,100.0,0
2026-05-01T16:21:16,26.51,839.88,20.71,110.83,100.0,0
2026-05-01T16:21:17,26.51,839.9,20.72,129.17,100.0,0
2026-05-01T16:21:18,26.52,839.89,20.72,166.67,100.0,0
2026-05-01T16:21:19,26.52,839.86,20.71,279.17,100.0,0
2026-05-01T16:21:20,26.52,839.87,20.7,293.33,100.0,0
2026-05-01T16:21:34,26.54,839.87,20.78,274.17,100.0,0
2026-05-01T16:21:35,26.56,839.9,20.77,266.67,100.0,0
2026-05-01T16:21:36,26.56,839.9,20.76,268.33,100.0,0
2026-05-01T16:21:37,26.56,839.87,20.76,266.67,100.0,0
2026-05-01T16:21:38,26.57,839.88,20.83,265.83,100.0,0
2026-05-01T16:21:39,26.56,839.89,20.83,263.33,100.0,0
2026-05-01T16:21:41,26.58,839.9,20.85,265.0,100.0,0
2026-05-01T16:21:42,26.58,839.89,20.89,264.17,100.0,0
2026-05-01T16:21:43,26.57,839.86,20.91,264.17,100.0,0
2026-05-01T16:21:44,26.58,839.89,20.88,266.67,100.0,0
2026-05-01T16:21:45,26.58,839.87,20.83,269.17,100.0,0
2026-05-01T16:21:46,26.58,839.87,20.8,269.17,100.0,0
2026-05-01T16:21:47,26.59,839.89,20.76,267.5,100.0,0
2026-05-01T16:21:48,26.59,839.87,20.75,265.83,100.0,0
2026-05-01T16:21:49,26.59,839.89,20.72,264.17,100.0,0
2026-05-01T16:21:50,26.59,839.88,20.69,262.5,100.0,0
2026-05-01T16:21:51,26.6,839.87,20.69,264.17,100.0,0
2026-05-01T16:21:52,26.6,839.88,20.67,263.33,100.0,0
2026-05-01T16:21:53,26.61,839.88,20.65,262.5,100.0,0
2026-05-01T16:21:54,26.61,839.9,20.64,262.5,100.0,0
2026-05-01T16:21:55,26.61,839.87,20.62,261.67,100.0,0
2026-05-01T16:21:56,26.61,839.9,20.58,263.33,100.0,0
2026-05-01T16:21:57,26.61,839.86,20.53,261.67,100.0,0
2026-05-01T16:21:58,26.61,839.89,20.51,261.67,100.0,0
2026-05-01T16:21:59,26.61,839.88,20.51,261.67,100.0,0
2026-05-01T16:22:00,26.62,839.87,20.5,260.83,100.0,0
2026-05-01T16:22:01,26.61,839.86,20.47,260.83,100.0,0
2026-05-01T16:22:02,26.62,839.87,20.44,260.0,100.0,0
2026-05-01T16:22:03,26.62,839.9,20.42,259.17,100.0,0
