timestamp,temperature_c,pressure_hpa,humidity_percent,light_lux,distance_cm,object_detected
2026-04-29T15:08:58,26.02,838.47,17.1,257.5,100.0,0
2026-04-29T15:08:59,26.04,838.5,17.09,255.83,100.0,0
2026-04-29T15:09:00,26.04,838.48,17.1,246.67,100.0,0
2026-04-29T15:09:01,26.04,838.48,17.11,251.67,100.0,0
2026-04-29T15:09:02,26.04,838.43,17.09,250.0,100.0,0
2026-04-29T15:09:03,26.04,838.45,17.03,249.17,100.0,0
2026-04-29T15:09:04,26.04,838.47,16.99,259.17,100.0,0
2026-04-29T15:09:05,26.05,838.47,16.92,258.33,100.0,0
2026-04-29T15:09:06,26.05,838.47,16.88,225.0,100.0,0
2026-04-29T15:09:07,26.04,838.46,16.86,294.17,100.0,0
2026-04-29T15:09:08,26.05,838.45,16.79,199.17,100.0,0
2026-04-29T15:09:09,26.05,838.44,16.72,222.5,100.0,0
2026-04-29T15:09:10,26.06,838.42,16.7,227.5,100.0,0
2026-04-29T15:09:11,26.05,838.39,16.76,232.5,100.0,0
2026-04-29T15:09:12,26.06,838.41,16.73,230.83,100.0,0
2026-04-29T15:09:13,26.06,838.43,16.74,239.17,100.0,0
2026-04-29T15:09:14,26.06,838.48,16.76,243.33,100.0,0
2026-04-29T15:09:15,26.06,838.49,16.74,230.0,100.0,0
2026-04-29T15:09:16,26.07,838.47,16.73,230.83,100.0,0
2026-04-29T15:09:17,26.06,838.49,16.76,218.33,100.0,0
2026-04-29T15:09:18,26.06,838.48,16.77,214.17,100.0,0
2026-04-29T15:09:19,26.06,838.44,16.78,225.0,100.0,0
2026-04-29T15:09:20,26.06,838.43,16.79,224.17,100.0,0
2026-04-29T15:09:21,26.06,838.44,16.79,223.33,100.0,0
2026-04-29T15:09:22,26.06,838.47,16.78,223.33,100.0,0
2026-04-29T15:09:23,26.06,838.45,16.79,222.5,100.0,0
2026-04-29T15:09:24,26.06,838.41,16.79,214.17,100.0,0
2026-04-29T15:09:26,26.06,838.43,16.79,203.33,100.0,0
2026-04-29T15:09:27,26.06,838.47,16.8,200.0,100.0,0
2026-04-29T15:09:28,26.07,838.44,16.8,195.83,100.0,0
