timestamp,temperature_c,pressure_hpa,humidity_percent,light_lux,distance_cm,object_detected
2026-04-29T15:11:41,26.73,838.48,56.11,62.5,100.0,0
2026-04-29T15:11:42,26.68,838.48,52.77,63.33,100.0,0
2026-04-29T15:11:43,26.71,838.51,54.53,63.33,100.0,0
2026-04-29T15:11:44,26.72,838.5,56.89,64.17,100.0,0
2026-04-29T15:11:45,26.73,838.45,53.76,63.33,100.0,0
2026-04-29T15:11:46,26.82,838.43,58.54,63.33,100.0,0
2026-04-29T15:11:47,26.87,838.47,62.3,63.33,100.0,0
2026-04-29T15:11:48,26.88,838.51,64.33,63.33,100.0,0
2026-04-29T15:11:49,26.9,838.52,65.86,63.33,100.0,0
2026-04-29T15:11:50,26.87,838.51,66.14,62.5,100.0,0
2026-04-29T15:11:51,26.9,838.49,66.98,64.17,100.0,0
2026-04-29T15:11:52,26.91,838.54,67.52,63.33,100.0,0
2026-04-29T15:11:53,26.95,838.53,68.62,63.33,100.0,0
2026-04-29T15:11:54,26.91,838.52,68.34,62.5,100.0,0
2026-04-29T15:11:55,26.91,838.54,68.24,63.33,100.0,0
2026-04-29T15:11:56,26.92,838.51,68.71,62.5,100.0,0
2026-04-29T15:11:58,26.92,838.51,68.95,63.33,100.0,0
2026-04-29T15:11:59,26.95,838.5,69.4,63.33,100.0,0
2026-04-29T15:12:00,26.97,838.49,69.89,63.33,100.0,0
2026-04-29T15:12:01,26.99,838.54,70.48,63.33,100.0,0
2026-04-29T15:12:02,27.06,838.53,71.56,63.33,100.0,0
2026-04-29T15:12:03,26.99,838.54,71.02,63.33,100.0,0
2026-04-29T15:12:04,26.97,838.58,70.19,63.33,100.0,0
2026-04-29T15:12:05,26.96,838.61,69.38,63.33,100.0,0
2026-04-29T15:12:06,26.97,838.56,69.01,63.33,100.0,0
2026-04-29T15:12:07,26.95,838.54,67.19,66.67,100.0,0
2026-04-29T15:12:08,26.85,838.53,55.62,56.67,100.0,0
2026-04-29T15:12:09,26.83,838.48,44.34,52.5,100.0,0
2026-04-29T15:12:10,26.82,838.49,38.46,49.17,100.0,0
2026-04-29T15:12:11,26.83,838.48,40.05,46.67,100.0,0
